ASSETID,ASSET_NAME,NO,LOCATION,MANUFACTURER,DATE
MBA_21147546,400kVA-22-0.4kV An Tao Ha,42,Phường An Tảo,Siemens,27/11/2015
MBA_028271,Máy biến áp 250kVA,10,Phường An Tảo,ABB,27/11/2015
MBA_001,This is Test,2,Phường An Tảo,This is Test,27/11/2015
MBA_032456,Máy biến áp 630kVA,63,Quận Hoàn Kiếm,Schneider Electric,15/03/2018
MBA_045789,MBA 160kVA 22-0.4kV,16,Phường Đống Đa,Toshiba,22/08/2019
MBA_056234,Transformer 500kVA,50,Quận Ba Đình,Siemens,10/12/2020
MBA_067891,MBA công suất 315kVA,31,Phường Cầu Giấy,ABB,05/06/2021
MBA_078234,Máy biến áp hạ thế 250kVA,25,Quận Hai Bà Trưng,Schneider Electric,18/09/2022
MBA_089567,400kVA Distribution Transformer,40,Phường Thanh Xuân,Toshiba,03/02/2023
MBA_090123,MBA 800kVA 35-0.4kV,80,Quận Long Biên,Siemens,27/11/2023
